Question,True Answer,Predicted Answer,BLEU Score,ROUGE-2 Score
What is etl,"A data integration process that combines data from multiple data sources into a single on,the consistent data store that is loaded into a data warehouse or other target system.",,0.0,0.0
What is sla,A contract between a service provider and its customers that documents what services the provider will furnish and defines the service standards the provider is obligated to meet,,0.0,0.0
What does etl stand for,"Extract , transform , load","Extract, transform, and load,",0.6703200460356393,0.4
What does sla stand for,Service-level agreement,Service-level agreement,1.0,1.0
A sla is a contract between who and who,A service provider and its customers,A service provider and its customers,1.0,1.0
Who is the provider of hot files,Billing settlement plan(bsp),Billing settlement plan( bsp) is the provider of hot filess,0.3678794411714423,0.5
What does bsp stand for,Billing settlement plan,Billing settlement plan,1.0,1.0
What is the type of testing preferred at adad,Black box testing (behavioral testing),Black box testing,0.4285714285714285,0.6666666666666666
What is load test,Load test is the objective is to ensure that loading a hot (high-order transaction) file should be completed within a maximum duration of 1 hour,Load test is the objective is to ensure that loading a hot (high-order transaction) file should be completed within a maximum duration of 1 hour.,0.9636404443012864,1.0
What is the purpose of the reconciliation module,He purpose of the reconciliation module is to match transactions from a data source type with transactions from another data source type using reconciliation keys (recokeys),,0.0,0.0
What does soc stand for,Summary of charge	,Summary of charge,1.0,1.0
What does roc stand for,Record of charge,Record of charge,1.0,1.0
What is the overarching goal of load test,The overarching goal is to achieve a comprehensive and efficient data loading process for hot files within the specified timeframe.,The overarching goal is to achieve a comprehensive and efficient data loading process for hot files within the specified timeframe,0.9523809523809524,1.0
How the adad frontend application is built,Built using the angular framework and developed within the nx ecosystem,Using the angular framework and developed within the nx ecosystem,0.9090909090909092,0.9473684210526316
What is unit test in a clean architecture,"In clean architecture, a unit test is a type of automated test that is used to test a functionality inside the domain (hexagon)",A type of automated test that is used to test a functionality inside the domain (hexagon).,0.6923076923076923,0.8108108108108109
Example of naming convention,Salesreport_{airlinecode}{salesreportid}{receptiondatetime(yyyymmdd_hh:mm:ss)}.csv	,,0.0,0.0
